"index","Plate","Sample","Species","Elevation","Period","Sex","Age","Nest_Stage","BandCC","Araneae","Blattodea","Coleoptera","Diptera","Entomobryomorpha","Hemiptera","Hymenoptera","Julida","Lepidoptera","Mesostigmata","Neuroptera","Opiliones","Plecoptera","Poduromorpha","Psocodea","Sarcoptiformes","Trombidiformes"
"BTBW_HIGH_1_17IX21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22478_BOGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_15X21A_10",1,"SAMPLE","BTBW","High","Early","M","ASY","incubation","1950-22611_YAWW",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"BTBW_HIGH_2_15X21B_9",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35703_RKKA",1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"BTBW_HIGH_2_17IX21_7",1,"SAMPLE","BTBW","High","Early","M","SY","incubation","1950-22603_RGWA",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_8X21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22481_BKGA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_8X21_23",1,"SAMPLE","BTBW","High","Early","M","ASY",NA,"1950-22612_OGRA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_15X21A_13",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35709_WAKG",1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_15",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35710_OKKA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_19",1,"SAMPLE","BTBW","High","Mid","M","SY","fertile","1950-22628_KKBA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22537_BGKA",1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
"BTBW_HIGH_3_1X21_16",2,"SAMPLE","BTBW","High","Mid","M","ASY",NA,"1950-22633_GBYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_24IX21_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22621_KBKA",1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
"BTBW_HIGH_3_24IX21_8",2,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35711_YGWA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_8X21_15",1,"SAMPLE","BTBW","High","Mid","M","ASY","parental","1950-22869_KGWA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_8X21_16",1,"SAMPLE","BTBW","High","Mid","M","ASY","parental","1950-22626_WWOA",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"BTBW_HIGH_4_15X21A_11",1,"SAMPLE","BTBW","High","Late","F","SY","parental","1950-22477_PBKA",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_15X21A_22",1,"SAMPLE","BTBW","High","Late","F","SY","parental","1950-22481_BKGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_15X21B_10",1,"SAMPLE","BTBW","High","Late","M","ASY",NA,"1950-22543_BAPW",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"BTBW_HIGH_4_1X21_17",2,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35719_KB-A",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_19",2,"SAMPLE","BTBW","High","Late","F","ASY","incubation","1950-22541_BBBA",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_20",2,"SAMPLE","BTBW","High","Late","F","ASY","parental","1950-22479_GAGG",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_21",2,"SAMPLE","BTBW","High","Late","M","HY",NA,"1950-22558_WKYA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_23",2,"SAMPLE","BTBW","High","Late","F","HY",NA,"2870-35722_-_A",1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
"BTBW_HIGH_4_22X21_11",1,"SAMPLE","BTBW","High","Late","M","ASY",NA,"1950-22494_PAYK",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"BTBW_HIGH_4_22X21_3",1,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35723_-_A",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
"BTBW_HIGH_4_8X21_11",1,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35720_-A",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_8X21_13",1,"SAMPLE","BTBW","High","Late","M","SY","parental","1950-22531_WGWA",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_8X21_9",1,"SAMPLE","BTBW","High","Late","M","ASY","parental","1950-22542_BWYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_1_15X21A_12",1,"SAMPLE","BTBW","Low","Early","M","ASY","fertile","1950-22462_BKYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_1_17IX21_12",1,"SAMPLE","BTBW","Low","Late","M","SY","incubation","2870-35707_KARW",1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0
"BTBW_LOW_1_24IX21_4",1,"SAMPLE","BTBW","Low","Early","M","ASY","incubation","1950-22505_GGGA",1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1
"BTBW_LOW_1_8X21_7",1,"SAMPLE","BTBW","Low","Early","F","ASY","fertile","1950-22461_BKRA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_2_15X21A_17",1,"SAMPLE","BTBW","Low","Early","M","SY",NA,"1950-22605_YWWA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_2_15X21A_18",1,"SAMPLE","BTBW","Low","Early","F","ASY","incubation","1950-22472_RBGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_2_17IX21_3",1,"SAMPLE","BTBW","Low","Mid","M","ASY",NA,"1950-22624_YKYA",1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"BTBW_LOW_2_22X21_5",1,"SAMPLE","BTBW","Low","Early","F","SY","incubation","1950-22470_BYKA",1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
"BTBW_LOW_2_22X21_9",1,"SAMPLE","BTBW","Low","Mid","M","SY",NA,"2870-35706_BWPA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_2_8X21_3",1,"SAMPLE","BTBW","Low","Early","F","ASY","incubation","1950-22507_WGYA",1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"BTBW_LOW_2_8X21_5",1,"SAMPLE","BTBW","Low","Early","M","ASY","incubation","1950-22604_KBWA",1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"BTBW_LOW_3_15X21A_21",1,"SAMPLE","BTBW","Low","Mid","M","ASY","parental","1950-22604_KBWA",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_15X21A_23",1,"SAMPLE","BTBW","Low","Mid","F","SY","incubation","2870-35714_BAWG",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_15X21A_4",1,"SAMPLE","BTBW","Low","Mid","M","SY","incubation","1950-22609_YGRA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_1X21_2",2,"SAMPLE","BTBW","Low","Mid","M","SY",NA,"1950-22632_OBRA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_3_1X21_3",2,"SAMPLE","BTBW","Low","Late","M","SY","parental","1950-22539_OGOA",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_1X21_4",2,"SAMPLE","BTBW","Low","Late","M","ASY","parental","1950-22462_BKYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_22X21_7",1,"SAMPLE","BTBW","Low","Mid","M","ASY",NA,"1950-22634_WARG",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_3_22X21_8",1,"SAMPLE","BTBW","Low","Late","F","SY","incubation","1950-22540_WGBA",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_24IX21_1",1,"SAMPLE","BTBW","Low","Mid","M","SY","parental","2870-35707_KARW",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_24IX21_15",2,"SAMPLE","BTBW","Low","Late","F","SY","parental","1950-22480_WAPO",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_24IX21_2",1,"SAMPLE","BTBW","Low","Mid","M","SY",NA,"1950-22630_WAKG",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_3_8X21_8",1,"SAMPLE","BTBW","Low","Mid","F","SY","incubation","1950-22535_BGYA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_4_15X21A_1",1,"SAMPLE","BTBW","Low","Late","M","SY",NA,"1950-22557_GBKA",1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0
"BTBW_LOW_4_15X21A_14",1,"SAMPLE","BTBW","Low","Late","F","ASY","incubation","1950-22491_WAOK",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_4_15X21A_8",1,"SAMPLE","BTBW","Low","Late","M","ASY","incubation","1950-22463_OGKA",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_4_1X21_6",2,"SAMPLE","BTBW","Low","Late","M","ASY","parental","2870-35716_WKRA",1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_4_22X21_12",1,"SAMPLE","BTBW","Low","Late","F","SY","incubation","1950-22474_BP-A",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_4_8X21_12",1,"SAMPLE","BTBW","High","Late","M","ASY","incubation","1950-22611_YAWW",1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_4_8X21_4",1,"SAMPLE","BTBW","Low","Late","M","ASY","incubation","1950-22556_YARK",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_1_17IX21_11",1,"SAMPLE","BTBW","Mid","Early","M","ASY","fertile","1950-22468_YBGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_1_17IX21_2",1,"SAMPLE","BTBW","Mid","Early","F","SY","incubation","1950-22465_RBWA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_1_17IX21_5",1,"SAMPLE","BTBW","Mid","Early","M","SY","incubation","1950-22466_YBOA",1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"BTBW_MID_1_24IX21_13",2,"SAMPLE","BTBW","Mid","Early","M","SY","incubation","1950-22467_RAWB",1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"BTBW_MID_1_24IX21_5",1,"SAMPLE","BTBW","Mid","Early","M","SY","fertile","1950-22464_GKBA",1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"BTBW_MID_1_8X21_17",1,"SAMPLE","BTBW","Mid","Early","M","SY","incubation","1950-22469_BAWG",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_15X21A_2",1,"SAMPLE","BTBW","Mid","Early","M","SY","incubation","1950-22606_RGOA",1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0
"BTBW_MID_2_17IX21_6",1,"SAMPLE","BTBW","Mid","Early","F","SY","incubation","1950-22480_WAPO",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_1X21_10",2,"SAMPLE","BTBW","Mid","Mid","F","SY","incubation","1950-22495_WPWA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_1X21_11",2,"SAMPLE","BTBW","Mid","Early","F","SY","incubation","1950-22475_KGBA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_1X21_15",2,"SAMPLE","BTBW","Mid","Mid","M","SY",NA,"1950-22625_RGGA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_1X21_8",2,"SAMPLE","BTBW","Mid","Early","M","SY","incubation","1950-22601_OARW",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"BTBW_MID_2_1X21_9",2,"SAMPLE","BTBW","Mid","Mid","M","SY","parental","1950-22513_YWRA",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_22X21_4",1,"SAMPLE","BTBW","Mid","Early","F","SY","incubation","1950-22509_OKYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_2_8X21_18",1,"SAMPLE","BTBW","Mid","Mid","M","ASY","parental","1950-22494_PAYK",1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"BTBW_MID_2_8X21_22",1,"SAMPLE","BTBW","Mid","Mid","M","SY","parental","1950-22623_YBWA",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_15X21A_16",1,"SAMPLE","BTBW","Mid","Mid","M","ASY","incubation","1950-22533_OWYA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_15X21A_5",1,"SAMPLE","BTBW","Mid","Mid","M","SY","incubation","2870-35715_KBYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_15X21B_11",1,"SAMPLE","BTBW","Mid","Mid","M","SY","fertile","1950-22492_ORPA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_1X21_13",2,"SAMPLE","BTBW","Mid","Mid","M","SY",NA,"1950-22534_YWGA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_22X21_2",1,"SAMPLE","BTBW","Mid","Mid","M","ASY","incubation","2870-35704_BRYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_3_24IX21_3",1,"SAMPLE","BTBW","Mid","Mid","M","ASY","parental","1950-22538_OKOA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_MID_3_24IX21_6",1,"SAMPLE","BTBW","Mid","Late","F","SY","incubation","1950-22495_WPWA",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_3_8X21_21",1,"SAMPLE","BTBW","Mid","Late","M","SY","parental","1950-22464_GKBA",1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
"BTBW_MID_4_15X21B_6",1,"SAMPLE","BTBW","Mid","Late","F","SY","incubation","2870-35718_RWOA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_4_1X21_12",2,"SAMPLE","BTBW","Mid","Late","M","SY","parental","2870-35715_KBYA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_MID_4_24IX21_10",2,"SAMPLE","BTBW","Mid","Late","F","ASY","incubation","1950-22508_YWRA",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
"BTBW_MID_4_8X21_19",1,"SAMPLE","BTBW","Mid","Late","M","ASY","parental","1950-22533_OWYA",1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
"BTBW_MID_4_8X21_20",1,"SAMPLE","BTBW","Mid","Late","F","SY","parental","2870-35717_WGOA",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
